Name,Length,Metacritic,Excitement,Genre,Played
"Ratchet & Clank up your arsenal (ps2)",12,91,7,"action/adventure",true
"Saint Seiya Sanctuary (ps2)",4,73,5,"fighting",true
"Resident Evil IV (ps2)",16,96,7,"horror/shooter",false
"Darkwatch (ps2)",6,81,5,"action/adventure",false
"JoJo no Kimyou na Bouken: Ougon no Kaze (ps2)",0,0,5,"fighting",false
"Sengoku Basara Heroes 2 (ps2)",42,0,5,"action/adventure",false
"Shinobido way of the ninja (ps2)",12,71,5,"stealth",false
"Yakuza 2 (ps2)",19,87,5,"action/adventure",false
"Castlevania dawn of sorrow (nds)",10,89,6,"metroidvania",false
"Zelda Spirit Tracks (nds)",20,87,5,"action/adventure",false
"Mario Smash Football (gamecube)",6,85,7,"sports",false
"Metroid Prime (gamecube)",14,97,7,"action/adventure",false
"Fire Emblem Awakening (3ds)",31,92,6,"rpg",false
"Pokemon Ultra Sun (3ds)",33,84,4,"rpg",false
"Zero Escape Virtues Last Reward (3ds)",28,88,6,"visual novel",false
"SteamWorld Heist (3ds)",13,86,5,"rpg",false
"Shantae and the Pirate's Curse (3ds)",8,86,6,"metroidvania",false
"The Binding of Isaac: Rebirth (3ds)",6,88,4,"roguelike",false
"Gunman Clive 2 (3ds)",2,80,6,"platform/action",false
"Hotline Miami (pc)",5,87,9,"top down shooter",true
"Rayman 2: the great scape (ps2)",8,90,5,"platform",false
"Xenoblade Chronicles (wii)",58,92,6,"rpg",false
"Castlevania Bloodline (genesis)",3,0,5,"metroidvania",false
"star fox assault (gamecube)",6,82,5,"action/adventure",false
"Donkey Kong Return (3ds)",11,83,5,"platform",false
"F Zero gx (gamecube)",9,89,5,"car/action",false
"Eternal Darkness (gamecube)",13,92,7,"survival horror",false
"Legacy of Kain (ps1)",12,91,6,"action/adventure",false
"Half Life 2 (pc) ",13,96,7,"fps",false
"Shadow of Colossus (ps2)",7,91,7,"action/adventure",false
"Jak and Daxter (ps2)",10,90,6,"action/adventure",false
"Viewtiful Joe  (ps2)",8,93,5,"action",false
"Dragon Quest VIII (ps2)",62,89,4,"rpg",false
"Time Splitters (ps2)",2,81,6,"fps",false
"Dragon Ball Z Budokai 3 (ps2)",12,87,4,"fighting",false
"Red Faction (ps2)",6,88,5,"fps",false
"Shadow of Rome (ps2)",19,88,5,"action",false
"Nobunaga's Ambition: Iron Triangle (ps2)",0,78,4,"turn base rpg",false
"Maximo: Ghosts to Glory (ps2)",9,87,5,"action/adventure",false
"The Warriors (ps2)",11,85,3,"action",false
"Psi-Ops: The Mindgate Conspiracy (ps2)",12,84,4,"action/adventure",false
"Valkyrie Profile 2: Silmeria (ps2)",43,89,5,"rpg",false
"Rygar: The Legendary Adventure (ps2)",6,83,3,"action",false
"Indigo Prophecy (ps2)",8,84,4,"action/adventure",false
"Maximo vs Army of Zin",8,83,4,"action/adventure",false
"Odin Sphere (ps2)",37,84,4,"rpg",false
"ATV Offroad Fury 2 (ps2)",0,82,6,"sports",false
"Sakura Wars: So Long My Love (ps2)",22,85,5,"rpg/visual novel",false
"Freekstyle (ps2)",0,82,6,"sports",false
"Dark Cloud (ps2)",31,80,5,"rpg",false
" Guilty Gear X (ps2)",0,79,7,"fighting",false
"Baldur's Gate: Dark Alliance  (ps2)",12,87,6,"rpg",false
"Armored Core 2 (ps2)",11,82,6,"action",false
"Alien Hominid (ps2)",2,78,7,"side-scrolling shooter",false
"NFL Street (ps2)",0,88,7,"sports",false
"Eternal Poison (ps2)",40,91,5,"rpg",false
"Kessen III (ps2)",30,92,4,"turn base rpg",false
"Sly 2: Band of Thieves (ps2)",15,9,5,"stealth/plataform",false
"Twisted Metal: Black (ps2)",4,91,4,"car/beatup",false
"Shadow of Destiny (ps2)",5,82,4,"adventure",false
"Mario Golf (gamecube)",8,82,5,"sports",false
"Mario Tennis (n64)",8,91,5,"sports",false
"Mario Power Tennis (gamecube)",4,84,5,"sports",false
"Tales of Symphonia (gamecube)",47,89,5,"rpg",false
"P.N. 03 (gamecube)",3,93,8,"action/adventure",false
"Resident Evil 2 (ps1)",6,90,7,"horror/shooting",false
"Perfect Dark (n64)",9,97,4,"fps",false
"I-Ninja (gamecube)",8,82,4,"platform/action",false
"Conker's Bad Fur Day (n64)",11,92,5,"platform",false
"Turok: Dinosaur Hunter (n64)",8,85,4,"fps",false
"Dino Crisis 2 (ps1)",6,93,6,"survival horror",false
"Tenchu: Stealth Assassins (ps1)",7,87,6,"stealth",false
"Oddworld: Abe's Exoddus (ps1)",15,88,7,"platform 2d",false
"Einhander (ps1)",3,89,5,"side-scrolling shooter",false
"Grandia (ps1)",42,89,5,"rpg",false
"Parasite Eve II (ps1)",12,85,4,"survival horror",false
"Alone in The dark (ps1)",5,78,4,"survival horror",false
"Saiyuki: Journey West (ps1)",34,85,5,"rpg",false
"Lunar: Silver Star Story (ps1)",27,85,5,"rpg",false
"Lunar 2: Eternal Blue",36,86,5,"rpg",false
"Resident Evil 3: Nemesis (ps1)",7,95,7,"horror/shooting",false
"Metal Slug X (ps1)",1,88,7,"side-scrolling shooter",false
"Star Ocean: The Second Story (ps1)",40,84,5,"rpg",false
"Xenogears (ps1)",57,91,5,"rpg",false
"Breath of Fire IV (ps1)",37,85,5,"rpg",false
"Elemental Gearbolt (ps1)",1,76,6,"shooter",false
"MTX Mototrax (ps2)",7,79,5,"sports",false
"FIFA Soccer 08 (ps2)",0,83,5,"sports",false
"NCAA Football 06 (ps2)",0,87,5,"sports",false
"Dead Space Remastered (xbox)",12,89,7,"horror/shooting",true
"Tomb Raider (2013) (xbox)",12,87,7,"action/adventure",false
"Portal 2 (pc)",9,95,6,"puzzle",false
"Celeste (pc)",8,94,6,"platform",true
"Axiom Verge (pc)",11,89,8,"metroidvania",false
"Bastion (pc)",6,90,7,"rpg",false
"Post Void (pc)",2,83,8,"fps",false
"Inside (pc)",4,93,10,"puzzle/platform",true
"Vampire Survivors (pc)",13,95,8,"roguelike",false
